COLEGIO_NAME,DONE
IES BARRIO SIMANCAS,0
IES CARLOS III,0
IES FRANCISCO DE QUEVEDO,0
IES GÓMEZ MORENO,0
IES LAS MUSAS,0
IES MARQUES DE SUANZES,0
IES SAN BLAS,0
EOEP ESPECÍFICO ALTAS CAPACIDADES,0
EOEP ESPECÍFICO DEFICIENCIAS,0
EOEP ESPECÍFICO DEFICIENCIAS,0
EOEP ESPECÍFICO DEFICIENCIAS VISUALES,0
EOEP ESPECÍFICO DIFICULTADES DE,0
EOEP ESPECÍFICO E.E. ALTERACIONES,0
EOEP ATEN-TEMPR EQUIPO ATENCION,0
EOEP GENERAL EQUIPO GENERAL SAN,0
EEI LA PLAZUELA,0
EEI LOS ANGELES,0
CP INF-PRI DOCTOR FEDERICO RUBIO,0
CP INF-PRI FELIPE II,0
CP INF-PRI IGNACIO ZULOAGA,0
CP INF-PRI JAIME VERA,0
CP INF-PRI JOSE ORTEGA Y GASSET,0
CP INF-PRI JUAN RAMON JIMENEZ,0
CP INF-PRI PIO XII,0
CEPA TETUAN,0
IES JAIME VERA,0
IES NUESTRA SEÑORA DE LA ALMUDENA,0
IES TETUAN DE LAS VICTORIAS,0
EOEP ATEN-TEMPR EQUIPO ATENCION,0
EEI ALBAICIN,0
EEI LA JARA,0
EEI PRADOLONGO,0
EEI SAN FERMIN,0
EEI ZOFIO,0
CP INF-PRI CIUDAD DE JAEN,0
CP INF-PRI GLORIA FUERTES,0
CP INF-PRI JORGE MANRIQUE,0
CP INF-PRI JUAN SEBASTIAN ELCANO,0
CP INF-PRI MARCELO USERA,0
CP INF-PRI MESETA DE ORCASITAS,0
CP INF-PRI NUESTRA SEÑORA DE LA,0
CP INF-PRI PRADOLONGO,0
CP INF-PRI PUERTO RICO,0
CP INF-PRI REPUBLICA DE VENEZUELA,0
CP INF-PRI REPUBLICA DEL BRASIL,0
CP EE JOAN MIRO,0
CEPA DAOIZ Y VELARDE,0
CEPA ORCASITAS,0
UFIL VIRGEN DE AFRICA,0
A. HOSP. AULA HOSPITALARIA DOCE DE,0
IES CIUDAD DE JAEN,0
IES ENRIQUE TIERNO GALVAN,0
IES JUAN DE VILLANUEVA,0
IES PEDRO SALINAS,0
IES PIO BAROJA,0
IES PRADOLONGO,0
EOEP ATEN-TEMPR EQUIPO ATENCION,0
EOEP GENERAL EQUIPO GENERAL,0
CP INF-PRI ALFONSO X EL SABIO,0
CP INF-PRI CARMEN LAFORET,0
CP INF-PRI DOCTOR SEVERO OCHOA,0
CP INF-PRI LOS ALMENDROS,0
CP INF-PRI PEDRO DUQUE,0
CP INF-PRI VALDEBERNARDO,0
CP INF-PRI VICALVARO,0
CP INF-PRI WINSTON CHURCHILL,0
CEPA VICALVARO,0
IES JOAQUÍN RODRIGO,0
IES VALDEBERNARDO,0
IES VILLABLANCA,0
EEI ARCO IRIS,0
EEI LA PALOMA,0
CP INF-PRI AGUSTIN RODRIGUEZ,0
CP INF-PRI ANGEL NIETO,0
CP INF-PRI BLAS DE OTERO,0
CP INF-PRI CIUDAD DE VALENCIA,0
CP INF-PRI EL QUIJOTE,0
CP INF-PRI FRANCISCO FATOU,0
CP INF-PRI HONDURAS,0
CP INF-PRI JOSE DE ECHEGARAY,0
CP INF-PRI JUAN GRIS,0
CP INF-PRI LOYOLA DE PALACIO,0
CP INF-PRI MARIA DE VILLOTA,0
CP EE VALLECAS,0
CEPA VALLECAS,0
CET VALLECAS,0
IES MARIA RODRIGO,0
IES SANTA EUGENIA,0
IES VILLA DE VALLECAS,0
CP INF-PRI ANTONIO DE NEBRIJA,0
CP INF-PRI AUSIAS MARCH,0
CP INF-PRI AZORIN,0
CP INF-PRI BARCELONA,0
CP INF-PRI CIUDAD DE CORDOBA,0
CP INF-PRI CIUDAD DE LOS ANGELES,0
CP INF-PRI CRISTOBAL COLON,0
CP INF-PRI DAMASO ALONSO,0
CP INF-PRI EL ESPINILLO,0
CP INF-PRI EL GRECO,0
CP INF-PRI JUAN DE LA CIERVA,0
CP INF-PRI LOS ROSALES,0
CP INF-PRI MANUEL DE FALLA,0
CP INF-PRI NAVAS DE TOLOSA,0
CP INF-PRI NUESTRA SEÑORA DE LA LUZ,0
CP INF-PRI RAMON GOMEZ DE LA SERNA,0
